,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
0,2008,Confirmed,Abdul Aziz Shaheen,,Pakistan,,,Male,,,Journalist,,Crossfire,Killed,Staff,Azadi,Print Reporter,"Politics,War",Print,Pakistan,Swat,,,Swat,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"A Pakistani airstrike hit the lockup where Shaheen was beingheld by a local Taliban group in the Swat Valley, according to local newsreports citing a Taliban spokesman. The spokesman, Muslim Khan, said Shaheenwas among at least 25 people killed in the strike, according to the Daily Timesnewspaper. The precise location of the Taliban hideout was not reported.<br>Militants abducted Shaheen, who worked for the localUrdu-language daily Azadi and sometimes filed for other papers, on August 27,2008, according to local news reports. Owais Aslam Ali, secretary-general ofthe Pakistan Press Foundation, told CPJ that local journalists believed theTaliban abducted the journalist because of his work.<br>Shaheen’s car was set on fire a week before he was abducted,although it was not clear whether the Taliban were responsible for that attack,the group reported. It said the journalist was kidnapped from the Peuchar areaof the Matta Tehsil subdivision of Swat.","Swat, Pakistan",34.319227749999996,71.59029390642517,34.319227749999996,71.59029390642517
1,2017,Confirmed,Abdul Hakim Shimul,,Bangladesh,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Samakal,Print Reporter,Politics,Print,Bangladesh,Shahjadpur,,,Shahjadpur,,Local,Government Officials,Confirmed,,,Complete Impunity,,,,,,,,,,,,,"Abdul Hakim Shimul, a reporter for the Bangladeshi national daily Samakal newspaper, died on February 3, 2017, from gunshot wounds sustained while covering political unrest in the northern Bangladeshi city of Shahjadpur the previous day. He was 42.<br>Violence broke out between rival factions of the ruling Awami League, namely supporters of Halimul Haque Miru, mayor of Shahjadpur, and his opponents from another faction of the party, according to news reports. Witnesses said that Miru opened fire in the confrontation, despite police instructions not to do so, according to media reports. A bullet entered Shimul’s skull after piercing one of his eyes, according to news reports. Shimul was first treated at a local clinic, but succumbed to his injuries on the way to a hospital in the capital Dhaka the following day.<br>Police arrested Miru on February 5 on suspicion of being responsible for Shimul’s death. Miru admitted to firing his gun, but claimed he fired a shot in the air in response to shots fired by his rivals. Police said only Miru’s gun was fired, according to the Bangladeshi news website bdnews24.com.<br>A court on February 6 ordered Miru jailed in connection with Shimul’s death, and said it would decide on the question of bail later. Police sought to hold Miru for at least seven days for questioning, according to news reports.<br>According to media reports, Shimul’s maternal grandmother, Rokeya Begum, died of a stroke when she heard of his death. The journalist left behind a wife and two young children. His colleagues remembered Shimul as “honest journalist.”","Shahjadpur, Bangladesh",23.7884856,90.4237741,23.7884856,90.4237741
2,2012,Confirmed,Abdul Haq Baloch,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,ARY Television,Broadcast Reporter,"Crime,Politics,War",Television,Pakistan,Khuzdar,,,Khuzdar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Unidentified assailants shot Haq as he was leaving the KhuzdarPress Club in the city of Khuzdar in Baluchistan province. Haq was thesecretary-general of the press club and a longtime local correspondent for ARYTelevision. ARY Television said it was not aware of any threats directedat Haq. But Hamid Mir, a prominent Pakistani journalist, wrote after Haq’sdeath that the journalist had been threatened by the Baluch Musalah Diffa Army(BMDA, or the Armed Baluch Defense) in November 2011 and had subsequently beennamed on a hit list issued by a BMDA spokesman.<br>Tensions with the press had escalated after the BaluchistanHigh Court barred news coverage of banned groups in October 2011. Several ofthe banned groups began threatening local journalists for not reporting ontheir militant operations.<br>Haq’s family declined to discuss widespread assertions byhis colleagues that he had been killed because security forces were angry thathe was working with the families of missing Baluchis on presenting cases beforethe Quetta bench of the Supreme Court of Pakistan. At the time of Haq’s death,the court was hearing more than 100 missing-person cases in Baluchistan. Ofthose cases, 19 were from Khuzdar.","Khuzdar, Pakistan",27.8000135,66.6166537,27.8000135,66.6166537
3,2012,Confirmed,Abdul Qadir Hajizai,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,WASH TV,Broadcast Reporter,"Politics,War",Television,Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Armed men shot Hajizai, a headmaster of a middle school whoalso worked at WASH TV, a private Baluchi-language TV channel, according tolocal news reports. The journalist was taken to a hospital, where he died, thereports said.<br>Hajizai was killed in the Basima area of Washik district,home of the Shamsi Air Field, which was used by the United States as a base forsurveillance and drone operations against militants in Pakistan’s FederallyAdministered Tribal Areas.<br>Two days after Hajizai’s death, the Baluch Liberation Front,an armed separatist group, claimed responsibility for his killing and calledhim a government informer. The journalist’s colleagues said they were unawareof any threats made against him.<br>The Baluchistan Union of Journalists issued a statementprotesting the killing and appealed to the Supreme Court and the BaluchistanHigh Court to address the rising level of threats to journalists.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
4,2008,Confirmed,Abdul Razzak Johra,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Royal TV,Broadcast Reporter,Crime,Television,Pakistan,Punjab,,,Punjab,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Six armed men dragged reporter Johra from his home in theMianwali district of Punjab and shot him, according to the Pakistan FederalUnion of Journalists. The attack came a day after his report on local drugtrafficking was aired nationally. Colleagues said Johra, 45, who had done earlier reports onthe drug trade, had received threats telling him to stop covering the issue.<br>Police took no evident steps to investigate the murder, according to localjournalists.","Punjab, Pakistan",31.0,72.0,31.0,72.0
5,2010,Confirmed,Abdul Wahab,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Express News,"Broadcast Reporter,Camera Operator","Politics,War",Television,Pakistan,Ghalanai,,,Ghalanai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Abdul Wahab, a reporter for Express News, and Pervez Khan, aWaqt TV journalist, were among 50 people killed in a double-suicide bomb attackin the Mohmand tribal district, according to international news reports. The journalists were covering a meeting of tribal leadersand government officials in Ghalanai, the administrative center of the region,when two suicide bombers wearing police uniforms detonated explosives. Newsreports said the meeting was called to discuss the formation of an anti-Talibanmilitia. Agence France-Presse said a Pakistani Taliban group took credit forthe attack, which injured more than 100 people.<br>The journalists worked as both cameramen and reporters.","Ghalanai, Pakistan",34.3230293,71.3996165,34.3230293,71.3996165
6,2018,Confirmed,Achyutananda Sahu,,India,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Sahu_Doordarshan1.jpg_1fd9419f-61b7-4e4e-ac74-65442e9fea46.jpeg,Doordarshan,Journalist,Killed,Crossfire,Killed,Staff,Doordarshan,Camera Operator,Politics,Television,India,Chhattisgarh,,Chhattisgarh,,,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,,"Video journalist Achyutananda Sahu, who worked for the government-run broadcaster Doordarshan, was killed in Chhattisgarh on October 30, 2018, during a firefight between police and a Maoist militant group, according to news reports.<br>At the time of the killing, the journalist and two colleagues from Doordarshan were embedded with the police and covering preparations for elections scheduled for the following month, the reports said. Sahu was on a motorcycle toward the front of the group when the clash, in which two police officers were also killed, took place, according to the Indian Express.<br>Chhattisgarh is one of four Indian states that have been the scene of a Maoist insurgency in the past few decades.<br>According to the police, the media team were caught in the crossfire when Maoists attacked the police. Accounts differed as to whether the attack was related to the upcoming election or a dispute over road construction.<br>Dheeraj Kumar, who was part of the Doordarshan news crew, told The Hindustan Times that the group was ambushed as it headed toward Nilwaya, about 5km (3 miles) from a paramilitary camp in Sameli, a village in the Dantewada district. ""I saw my colleague fall in front of me,"" Kumar said. ""We were planning to cover a newly-built polling station in Nilwaya where people haven’t voted since 1998.""Special director general of police D.M. Awasthi told the media the attack was related to road construction. “Naxals warned about causing harm if the road construction work continued,” he said. Sahu and his team arrived to cover the road construction ahead of the polls when the attack took place, according to Awasthi.<br>The Communist Party of India (Maoist) released a statement taking responsibility for Sahu’s death, according to the Press Trust of India. “It is sad that camera person Achyutananda Sahu was killed in the attack. We had no intention to target media personnel,” Sainath, the secretary of the Dharba division of CPI (Maoist) said in the statement. He also advised journalists not to embed with police when in conflict zones.<br>In response to the killing, Rajyavardhan Rathore, who heads the Ministry of Information and Broadcasting that has responsibility for the station, tweeted, ""Stand in solidarity with family of the cameraman, we will take care of his family. We salute all those media persons who go for coverage in such dangerous situations, remember their bravery."" According to NDTV, he ordered compensation of 15,00,000 Indian rupees (US$21,000) to be paid to the journalist’s family.","Chhattisgarh, India",21.6637359,81.8406351,21.6637359,81.8406351
7,2013,Confirmed,Ahmed Rajib Haider,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Corruption,Human Rights,Politics",Internet,Bangladesh,Dhaka,,,Dhaka,,Local,Political Group,Confirmed,,,Full Justice,No,No,Yes,,,,,,,,,,"Haider, a blogger also known as “Thaba Baba,” was killed by assailants wielding machetes outside his home in the Pallabi neighborhood in the capital, Dhaka.<br>Haider, who also worked as an architect, had written critically on his blog and social networking sites about Islamic fundamentalism and Islamist groups, and had covered mass nationwide demonstrations, called the “Shahbagh movement,” in which protesters called for the death penalty for leaders of the Jamaat-e-Islami party who were on trial for war crimes.<br>Haider’s brother said he had been targeted by the Islami Chhatra Shibir–the student wing of the Jamaat-e-Islami party–for his “online activities,” reports said. News reports said activists of the Shahbagh movement also blamed members of the Islami Chhatra Shibir for the blogger’s death. The student wing has been involved in sporadic street attacks since the protests began, according to reports.<br>Members of the Jamaat-e-Islami party denied the accusations, reports said.<br>News reports also cited Haider’s relatives and friends as saying the blogger was killed for the posts he wrote urging that the alleged war criminals be brought to justice. News reports citing another Bangladeshi blogger, Shakil Ahmed, said that a pro-Jamaat website had named Haider as a target the week before his death.<br>News accounts reported that Haider also used his Facebook page to publicize the protests and encourage demonstrators to attend them. The day before his death, the blogger had participated in the protests, reports said. On February 11, 2013, a blog, called Sonarbangla, which is run by members of the Jamaat-e-Islami party and its student wing, published a story calling Haider one of the main organizers of the protests, news reports said.<br>Police arrested five individuals who confessed to the murder and said they had received an order from an Islami Chhatra Shibir leader to kill Haider, and that it was their religious obligation to do so, reports said. Police told the media that the plot to kill the blogger had been formed several months prior in connection with Haider’s Facebook posts that criticized Islamic fundamentalism and Islamist groups.<br>On December 31, 2015, a Dhaka court convicted and sentenced two students to death for Haider’s murder, including Rezwanul Azad Rana, a fugitive who was charged in absentia and who was described by police as the mastermind, according to news reports. Six others were convicted in the attack, according to The Associated Press. The court sentenced Jashim Uddin Rahmani, the leader of banned Islamist group Ansarullah Bangla Team, to five years in jail for “abetting murder” by inciting students to kill secular bloggers; one student was sentenced to life imprisonment for murder; and four others were jailed for three years on lesser charges, according to news reports. A lawyer for the defendants said they would appeal, reports said.<br>CPJ research showed an escalation in attacks against online journalists in Bangladesh since the beginning of 2013. In early April, authorities arrested four journalists, one of whom had been stabbed a few months prior.<br>Haider’s funeral procession was attended by tens of thousands. He is survived by his wife.","Dhaka, Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
8,2014,Confirmed,Ahmed Rilwan Abdulla,,Maldives,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Maldives_7_1.jpg_ef157674-0f84-4329-b441-332e1bba7012.jpeg,CPJ,Journalist,Killed,Murder,Killed,Staff,Minivan News,"Internet Reporter,Print Reporter","Corruption,Crime,Culture,Human Rights,Politics","Print,Internet",Maldives,Male,,,Male,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"Ahmed Rilwan Abdulla, a blogger and reporter for independent news website Minivan News, was killed by a local Al-Qaeda affiliate in the Maldives on August 8, 2014, Husnu Al Suood, the head of the presidential commission on enforced disappearances and murders, said on September 1, 2019, according to Al-Jazeera. Rilwan was last seen on August 7, 2014, according to news reports and CPJ reporting, and had been considered missing for five years. Rilwan was forced into a car outside of his home at knifepoint in the early hours of August 8, 2014, according to the same reports. Al Suuod said he was then taken to a boat out at sea, where he was killed, according to Al-Jazeera. Al Suood said that Rilwan had been killed for his writing about alleged Al-Qaeda links in the Maldives and his advocacy for freedom of expression, according to news reports.<br>The commission identified several individuals suspected of involvement in Rilwan’s abduction and killing, and subsequent government interference in the case, according to a report by Rilwan’s employer, which has since changed its name to The Maldives Independent. The commission asked the prosecutor general’s office to appeal the 2018 acquittals of two suspects charged over Rilwan’s abduction, given the new evidence, according to the Independent.<br>Al Suood also recommended obstruction of justice charges be filed against former Vice President Ahmed Adeeb for allegedly intervening to release two suspects allegedly involved in Rilwan’s disappearance, and also said the commission found evidence that former President Abdulla Yameen Abdul Gayoom tried to “divert the focus of the police investigation,” but added that there was not enough evidence to recommend charges, the Independent reported.<br>Yameen’s lawyer dismissed allegations of undue interference, and Adeeb has previously denied any involvement in Rilwan’s case, according to Al-Jazeera.<br>The prosecutor general’s office in the Maldives did not immediately respond to CPJ’s request for comment via messaging app.","Male, Maldives",4.1779879,73.5107387,4.1779879,73.5107387
9,2004,Confirmed,Aiyathurai Nadesan,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,Virakesari,Print Reporter,"Corruption,Human Rights,Politics",Print,Sri Lanka,Batticaloa,,,Batticaloa,,Local,Military Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Nadesan, a veteran Tamil journalist with the national Tamil-languagedaily Virakesari, was shot by unidentified assailants in Batticaloa,a town on the eastern coast of Sri Lanka about 135 miles (216 kilometers)from the capital, Colombo, according to international news reportsand local journalists.<br>Nadesan, who had worked at Virakesari for 20 years, was onhis way to work when he was ambushed near a Hindu temple. The assailantsescaped, and no group claimed responsibility.<br>Nadesan was an award-winning journalist who used the pen name NellaiG. Nadesan. He also reported for the International Broadcast Group,a Tamil-language radio station that broadcasts from London. Violence erupted in Sri Lanka’s eastern region in the weeks beforethe murder after the main Tamil rebel group, the Liberation Tigersof Tamil Eelam (LTTE), launched a military offensive against a breakawayfaction headed by a soldier known as Colonel Karuna. Local journalistssaid that Nadesan was sympathetic to the LTTE. The LTTE accused theSri Lankan army and members of the breakaway faction of Nadesan’smurder, according to the pro-LTTE Internet news site Tamil.net.<br>Nadesan had been harassed and threatened before his death becausehe had criticized the government and security forces, according toCPJ research. On June 17, 2001, a Sri Lankan army officer summonedNadesan for an interrogation and threatened the journalist with arrestunless he ceased reporting about the army.","Batticaloa, Sri Lanka",7.7356027,81.6941956,7.7356027,81.6941956
