"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2008","Confirmed","Abdul Aziz Shaheen",,"Pakistan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Azadi","Print Reporter","Politics,War","Print","Pakistan","Swat",,,"Swat",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Abdul Hakim Shimul",,"Bangladesh",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Samakal","Print Reporter","Politics","Print","Bangladesh","Shahjadpur",,,"Shahjadpur",,"Local","Government Officials","Confirmed",,,"Complete Impunity",,,,,,,,,,,,
"2012","Confirmed","Abdul Haq Baloch",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","ARY Television","Broadcast Reporter","Crime,Politics,War","Television","Pakistan","Khuzdar",,,"Khuzdar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Abdul Qadir Hajizai",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","WASH TV","Broadcast Reporter","Politics,War","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Abdul Razzak Johra",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Royal TV","Broadcast Reporter","Crime","Television","Pakistan","Punjab",,,"Punjab",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2010","Confirmed","Abdul Wahab",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Express News","Broadcast Reporter,Camera Operator","Politics,War","Television","Pakistan","Ghalanai",,,"Ghalanai",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Achyutananda Sahu",,"India",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Sahu_Doordarshan1.jpg_1fd9419f-61b7-4e4e-ac74-65442e9fea46.jpeg","Doordarshan","Journalist","Killed","Crossfire","Killed","Staff","Doordarshan","Camera Operator","Politics","Television","India","Chhattisgarh",,"Chhattisgarh",,,"Local","Political Group","Confirmed","No",,,,,,,,,,,,,,
"2013","Confirmed","Ahmed Rajib Haider",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter","Corruption,Human Rights,Politics","Internet","Bangladesh","Dhaka",,,"Dhaka",,"Local","Political Group","Confirmed",,,"Full Justice","No","No","Yes",,,,,,,,,
"2014","Confirmed","Ahmed Rilwan Abdulla",,"Maldives",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Maldives_7_1.jpg_ef157674-0f84-4329-b441-332e1bba7012.jpeg","CPJ","Journalist","Killed","Murder","Killed","Staff","Minivan News","Internet Reporter,Print Reporter","Corruption,Crime,Culture,Human Rights,Politics","Print,Internet","Maldives","Male",,,"Male",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","Yes",,,,,,,,,
"2004","Confirmed","Aiyathurai Nadesan",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Virakesari","Print Reporter","Corruption,Human Rights,Politics","Print","Sri Lanka","Batticaloa",,,"Batticaloa",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2005","Confirmed","Allah Noor",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/allah_noor_pakistan_2005.jpg","","Journalist",,"Murder","Killed","Freelance","Khyber TV","Photographer","War","Print","Pakistan","Wana",,,"Wana",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1997","Confirmed","Altaf Ahmed Faktoo",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Doordarshan TV","Broadcast Reporter","Politics","Television","India","Srinagar",,"Kashmir","Srinagar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","Yes",,,,,,,,,
"2005","Confirmed","Amir Nowab",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Amir%252520Nowab%252528right%252529.Pakistan.2005.1.jpg","AP","Journalist",,"Murder","Killed","Freelance","Associated Press Television News and Frontier Post","Broadcast Reporter","War","Television","Pakistan","Wana",,,"Wana",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2015","Confirmed","Ananta Bijoy Das",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet","Bangladesh","Sylhet",,,"Sylhet",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2009","Confirmed","Anil Mazumdar",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Aji","Editor","Business,Corruption,Crime,Culture,Human Rights,Politics,War","Print","India","Rajgarh, Assam",,,"Rajgarh, Assam",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1999","Confirmed","Anura Priyantha",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Independent Television Network","Technician","Politics","Television","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2011","Confirmed","Asfandyar Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Akhbar-e-Khyber","Print Reporter","Crime,Politics","Print","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Ashok Sodhi",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ashok_sodhi_india_2008.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Daily Excelsior","Photographer",,"Print","India","Samba",,,"Samba",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
