0,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
1,2008,Confirmed,Abdul Aziz Shaheen,,Pakistan,,,Male,,,Journalist,,Crossfire,Killed,Staff,Azadi,Print Reporter,"Politics,War",Print,Pakistan,Swat,,,Swat,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"A Pakistani airstrike hit the lockup where Shaheen was beingheld by a local Taliban group in the Swat Valley, according to local newsreports citing a Taliban spokesman. The spokesman, Muslim Khan, said Shaheenwas among at least 25 people killed in the strike, according to the Daily Timesnewspaper. The precise location of the Taliban hideout was not reported.","Swat, Pakistan",34.31922775,71.59029391,34.31922775,71.59029391
2,2017,Confirmed,Abdul Hakim Shimul,,Bangladesh,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Samakal,Print Reporter,Politics,Print,Bangladesh,Shahjadpur,,,Shahjadpur,,Local,Government Officials,Confirmed,,,Complete Impunity,,,,,,,,,,,,,"Abdul Hakim Shimul, a reporter for the Bangladeshi national daily Samakal newspaper, died on February 3, 2017, from gunshot wounds sustained while covering political unrest in the northern Bangladeshi city of Shahjadpur the previous day. He was 42.","Shahjadpur, Bangladesh",23.7884856,90.4237741,23.7884856,90.4237741
3,2012,Confirmed,Abdul Haq Baloch,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,ARY Television,Broadcast Reporter,"Crime,Politics,War",Television,Pakistan,Khuzdar,,,Khuzdar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Unidentified assailants shot Haq as he was leaving the KhuzdarPress Club in the city of Khuzdar in Baluchistan province. Haq was thesecretary-general of the press club and a longtime local correspondent for ARYTelevision. ARY Television said it was not aware of any threats directedat Haq. But Hamid Mir, a prominent Pakistani journalist, wrote after Haq’sdeath that the journalist had been threatened by the Baluch Musalah Diffa Army(BMDA, or the Armed Baluch Defense) in November 2011 and had subsequently beennamed on a hit list issued by a BMDA spokesman.","Khuzdar, Pakistan",27.8000135,66.6166537,27.8000135,66.6166537
4,2012,Confirmed,Abdul Qadir Hajizai,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,WASH TV,Broadcast Reporter,"Politics,War",Television,Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Armed men shot Hajizai, a headmaster of a middle school whoalso worked at WASH TV, a private Baluchi-language TV channel, according tolocal news reports. The journalist was taken to a hospital, where he died, thereports said.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
5,2008,Confirmed,Abdul Razzak Johra,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Royal TV,Broadcast Reporter,Crime,Television,Pakistan,Punjab,,,Punjab,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Six armed men dragged reporter Johra from his home in theMianwali district of Punjab and shot him, according to the Pakistan FederalUnion of Journalists. The attack came a day after his report on local drugtrafficking was aired nationally. Colleagues said Johra, 45, who had done earlier reports onthe drug trade, had received threats telling him to stop covering the issue.","Punjab, Pakistan",31,72,31,72
6,2010,Confirmed,Abdul Wahab,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Express News,"Broadcast Reporter,Camera Operator","Politics,War",Television,Pakistan,Ghalanai,,,Ghalanai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Abdul Wahab, a reporter for Express News, and Pervez Khan, aWaqt TV journalist, were among 50 people killed in a double-suicide bomb attackin the Mohmand tribal district, according to international news reports. The journalists were covering a meeting of tribal leadersand government officials in Ghalanai, the administrative center of the region,when two suicide bombers wearing police uniforms detonated explosives. Newsreports said the meeting was called to discuss the formation of an anti-Talibanmilitia. Agence France-Presse said a Pakistani Taliban group took credit forthe attack, which injured more than 100 people.","Ghalanai, Pakistan",34.3230293,71.3996165,34.3230293,71.3996165
7,2018,Confirmed,Achyutananda Sahu,,India,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Sahu_Doordarshan1.jpg_1fd9419f-61b7-4e4e-ac74-65442e9fea46.jpeg,Doordarshan,Journalist,Killed,Crossfire,Killed,Staff,Doordarshan,Camera Operator,Politics,Television,India,Chhattisgarh,,Chhattisgarh,,,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,,"Video journalist Achyutananda Sahu, who worked for the government-run broadcaster Doordarshan, was killed in Chhattisgarh on October 30, 2018, during a firefight between police and a Maoist militant group, according to news reports.","Chhattisgarh, India",21.6637359,81.8406351,21.6637359,81.8406351
8,2013,Confirmed,Ahmed Rajib Haider,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Corruption,Human Rights,Politics",Internet,Bangladesh,Dhaka,,,Dhaka,,Local,Political Group,Confirmed,,,Full Justice,No,No,Yes,,,,,,,,,,"Haider, a blogger also known as “Thaba Baba,” was killed by assailants wielding machetes outside his home in the Pallabi neighborhood in the capital, Dhaka.","Dhaka, Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
9,2014,Confirmed,Ahmed Rilwan Abdulla,,Maldives,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Maldives_7_1.jpg_ef157674-0f84-4329-b441-332e1bba7012.jpeg,CPJ,Journalist,Killed,Murder,Killed,Staff,Minivan News,"Internet Reporter,Print Reporter","Corruption,Crime,Culture,Human Rights,Politics","Print,Internet",Maldives,Male,,,Male,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"Ahmed Rilwan Abdulla, a blogger and reporter for independent news website Minivan News, was killed by a local Al-Qaeda affiliate in the Maldives on August 8, 2014, Husnu Al Suood, the head of the presidential commission on enforced disappearances and murders, said on September 1, 2019, according to Al-Jazeera. Rilwan was last seen on August 7, 2014, according to news reports and CPJ reporting, and had been considered missing for five years. Rilwan was forced into a car outside of his home at knifepoint in the early hours of August 8, 2014, according to the same reports. Al Suuod said he was then taken to a boat out at sea, where he was killed, according to Al-Jazeera. Al Suood said that Rilwan had been killed for his writing about alleged Al-Qaeda links in the Maldives and his advocacy for freedom of expression, according to news reports.","Male, Maldives",4.1779879,73.5107387,4.1779879,73.5107387
10,2004,Confirmed,Aiyathurai Nadesan,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,Virakesari,Print Reporter,"Corruption,Human Rights,Politics",Print,Sri Lanka,Batticaloa,,,Batticaloa,,Local,Military Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Nadesan, a veteran Tamil journalist with the national Tamil-languagedaily Virakesari, was shot by unidentified assailants in Batticaloa,a town on the eastern coast of Sri Lanka about 135 miles (216 kilometers)from the capital, Colombo, according to international news reportsand local journalists.","Batticaloa, Sri Lanka",7.7356027,81.6941956,7.7356027,81.6941956
11,2005,Confirmed,Allah Noor,,Pakistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/allah_noor_pakistan_2005.jpg,,Journalist,,Murder,Killed,Freelance,Khyber TV,Photographer,War,Print,Pakistan,Wana,,,Wana,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Gunmen in South Waziristan fatally shot Allah Noor, ajournalist for Peshawar-based Khyber TV, and Amir Nowab, a freelance cameramanfor Associated Press Television News and a reporter for the Frontier Postnewspaper. The journalists were riding with colleagues in a bus transportingthem from the town of Sararogha, where they had covered the surrender of asuspected tribal militant, Baitullah Mehsud.","Wana, Pakistan",32.3073624,69.5907178,32.3073624,69.5907178
12,1997,Confirmed,Altaf Ahmed Faktoo,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Doordarshan TV,Broadcast Reporter,Politics,Television,India,Srinagar,,Kashmir,Srinagar,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"Faktoo, an anchor for the state-owned Doordarshan television station in Srinagar, Kashmir, was assassinated, reportedly by militant separatists, who fired two shots at the journalist with a gun equipped with a silencer. He had received repeated threats from militant separatists because of his work and had been kidnapped and detained by a militant group in 1994.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
13,2005,Confirmed,Amir Nowab,,Pakistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Amir%252520Nowab%252528right%252529.Pakistan.2005.1.jpg,AP,Journalist,,Murder,Killed,Freelance,Associated Press Television News and Frontier Post,Broadcast Reporter,War,Television,Pakistan,Wana,,,Wana,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Gunmen in South Waziristan fatally shot Allah Noor, ajournalist for Peshawar-based Khyber TV, and Amir Nowab, a freelance cameramanfor Associated Press Television News and a reporter for the Frontier Postnewspaper. The journalists were riding with colleagues in a bus transportingthem from the town of Sararogha, where they had covered the surrender of asuspected tribal militant, Baitullah Mehsud.","Wana, Pakistan",32.3073624,69.5907178,32.3073624,69.5907178
14,2015,Confirmed,Ananta Bijoy Das,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Sylhet,,,Sylhet,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Four unidentified assailants wielding cleavers and machetes hacked Ananta Bijoy Das to death on a busy street as the blogger was heading to work in the city of Sylhet, according to news reports. Kamrul Hasan, commissioner of Sylhet police, told local journalists that the four assailants fled the scene.","Sylhet, Bangladesh",24.59107805,91.71773617,24.59107805,91.71773617
15,2009,Confirmed,Anil Mazumdar,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Aji,Editor,"Business,Corruption,Crime,Culture,Human Rights,Politics,War",Print,India,"Rajgarh, Assam",,,"Rajgarh, Assam",,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Unidentified gunmen shot dead Mazumdar, the editor of an Assamese language daily Aji, as he was returning from his office outside his home in Rajgarh. His driver, Ramen Nath, and neighbors rushed him to a hospital, where Mazumdar was declared dead, according to the Telegraph.","Rajgarh, Assam, India",26.1719842,91.7712712,26.1719842,91.7712712
16,1999,Confirmed,Anura Priyantha,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Independent Television Network,Technician,Politics,Television,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Indika Pathinivasan, a camera assistant for Sri Lanka’s privately ownedMaharaja Television Network, and Anura Priyantha, a camera assistant for thestate-owned Independent Television Network, were fatally wounded byshrapnel from a suicide bomb aimed at President Chandrika BandaranaikeKumaratunga at an election rally in Colombo. Five other journalistswere injured by the blast, along with Kumaratunga and scores ofonlookers.","Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
